pdf_name,title,author,author_place,journal,volume,year,pages
"AnSt 49, 1999.pdf",ANATOLIAN IRON AGES 4,A. Qilingiroglu and R. J. Matthews,,Journal of the British Institute of Archaeology at Ankara,49,1999,1-177
"AnSt 5, 1955.pdf",Beycesultan Excavations: First Preliminary Report,"Seton Lloyd, James Mellaart",,Journal of the British Institute of Archaeology at Ankara,V,1955,39
"AnSt 50, 2000.pdf",ANATOLIAN STUDIES,"David W J Gill, Turan Takaoglu, David A Traill, Mary M Voigt, Robert C Henrickson, Geoffrey D Summers, Gareth Darbyshire, Stephen Mitchell, Levent Vardar, Anthony Comfort, Catherine Abadie-Reynal, Rifat Ergeg, Tim Mitford, Martin Ferguson Smith, N P Milner, G Davies, G R H Wright, Fusun Ertug",London,Journal of the British Institute of Archaeology at Ankara,50,2000,1–171
"AnSt 51, 2001.pdf",Anatolian Studies,"Bleda S During, Anthony Comfort, Rifat Ergeg, Maya Vassileva, M Vickers, A Kakhidze, Mustafa .ahin, L Vandeput, V Kose, B Yelda Olcay, K Ahmet, Wout Arentzen",London,Journal of the British Institute of Archaeology at Ankara,51,2001,1–169
"AnSt 52, 2002.pdf",Anatolian Studies,"K. Donners, M. Waelkens, J. Deckers, Bradley J. Parker, Andrew Creekmore, Chiara Cavallo, Rik Maliepaard, Richard Paine, D.F. Easton, J.D. Hawkins, A.G. Sherratt, E.S. Sherratt, R. GÖRTEKIN-DEMİR, Lutgarde Vandeput, Veli Kose, Hugh Elton",Ankara,Journal of the British Institute of Archaeology at Ankara,52,2002,1–153
"AnSt 53, 2003.pdf",Burials in context: The 1960s inhumations of Qatalhoyuk East,Bleda S. During,,Anatolian Studies,53,2003,"1  
Plant stores at pottery Neolithic Hoyucek, southwest Turkey"
"AnSt 54, 2004.pdf",Anatolian Studies,Various Authors,Ankara,Journal of the British Institute at Ankara,54,2004,1–109
"AnSt 55, 2005.pdf",Anatolian Studies,"S.RB. Durnford, J.R. Akeroyd, Andrew Fairbairn, Sachihiro Omura, Carl Knappett, Vassilis Kilikoglou, Val Steele, Ben Stern, Jamar Hodos, Marc Domingo Gygax, Werner Tietz, Charles Crowther, Murat Durukan, JJ. Coulton",Ankara,Anatolian Studies,55,2005,15–127
"AnSt 56, 2006.pdf",Anatolian Studies,,,Journal of the British Institute at Ankara,56,2006,1–127
"AnSt 57, 2007.pdf",Transanatolia,Alexandra Fletcher and Alan M. Greaves,,Journal of the British Institute at Ankara,57,2007,Jan-87
"AnSt 6, 1956.pdf",ANATOLI STUDIES,John Garstang,,Journal of the British Institute of Archaeology at Ankara,VI,1956,3–205
"AnSt 7, 1957.pdf",An Early Bronze Age Shrine at Beycesultan,"Seton Lloyd, James Mellaart",,Journal of the British Institute of Archaeology at Ankara,VII,1957,"27

Urartian Fortresses and Towns in the Van Region"
"AnSt 8, 1958.pdf",The Harran Inscriptions of Nabonidus,C. J. Gadd,,Journal of the British Institute of Archaeology at Ankara,VIII,1958,"35  
Beycesultan Excavations: Fourth Preliminary Report, 1957"
"AnSt 9, 1959.pdf","Excavations at Beycesultan, 1958","Seton Lloyd, James Mellaart, David Stronach",,Anatolian Studies,9,1959,"35  
Excavations at Hacilar, second Preliminary Report"
"Anatolica 28, 2002.pdf",ANATOLICA XXVIII,T. MATNEY et alii,,ANATOLICA,28,2002,1–107
"Anatolica 29, 2003.pdf",DATING THE NEO-HITTITE KINGLETS OF GURGUM/MARA≤,R.M. Porter,,ANATOLICA,XXIX,2003,
"Anatolica 30, 2004.pdf",ANATOLICA XXX,"O. BELLI, A. DINÇOL AND B. DINÇOL",,ANATOLICA,XXX,2004,2-107
"Anatolica 31, 2005.pdf","ANATOLICA XXXI, 2005",Y. MIYAKE,,ANATOLICA,XXXI,2005,Mar-78
"Anatolica 32, 2006.pdf","Anatolica 32, 1-27",A.T. ÖKSE,,Anatolica,32,2006,"1-27  
Anatolica 32, 29-54"
"Anatolica 33, 2007.pdf",THE HATTIAN-HITTITE FOUNDATION RITUALS FROM ORTAKÖY (I),Aygül Süel – Oğuz Soysal,,Anatolica,33,2007,22-Jan
"Anatolica 34, 2008.pdf",WEIGHTS AND MEASURES IN HITTITE TEXTS,J. de Roos,Leiden,Anatolica,34,2008,6-Jan
"Anatolica 35, 2009.pdf",GLADIATORS AT ANCYRA,Julian Bennett,Ankara,ANATOLICA,XXXV,2009,1–2
"Anatolica 36, 2010.pdf",IST URHÙ I-TEŠUP DER KÖNIG VON ZULAPA?,Michael Bányai,,Anatolica,36,2010,16-Jan
"Anatolica 37, 2011.pdf",NEOLITHIC COMMUNITIES IN THE EASTERN MARMARA REGION: AKTOPRAKLIK C,"Necmi Karul, Mert Bertan Avcı",Istanbul,ANATOLICA,XXXVII,2011,
Anbar_1973_IOS3_Samsi-Adad1.pdf,Le début du règne de Samsi-Addu Ier,M. Anbar (Bernstein),Tel Aviv,ISRAEL ORIENTAL STUDIES,III,1973,24–40
Anbar_1989_AkkSupp6_End_Samsi-Adad.PDF,REFLETS DES DEUX FLEUVES,Georges Dossin,,Fondation Assyriologique Assyriologische Stichting,VI,1989,
Anlagan_1993_OzgucNFS_partridge.pdf,A VESSEL IN THE FORM OF A PARTRIDGE FROM THE SADEBERK HANIM MUSEUM,ÇETİN ANLAGAN,İstanbul,,,1993,
ArAn 12-2.pdf,Archivum Anatolicum (Anadolu Arşivleri),Prof. Dr. İhsan Çiçek,Ankara,Archivum Anatolicum,12,2018,1–157
Astour_1995_CANE_Overland Trade Routes.PDF,Overland Trade Routes in Ancient Western Asia,MICHAEL C. ASTOUR,,,,1995,
Atici et al 2020 Archaeological Analysis in the Information Age_ Guidelines for Ma.pdf,"Archaeological Analysis in the Information Age: Guidelines for Maximizing the Reach, Comprehensiveness, and Longevity of Data","Sarah W. Kansa, Levent Atici, Eric C. Kansa, Richard H. Meadow",,Advances in Archaeological Practice,8,2019,40-52
Atici_et_al_2014_JCS_Supp_4_intro-libre.pdf,Integrating Current Research at Kültepe-Kanesh,"Levent Atici, Fikri Kulakoğlu, Gojko Barjamovic, Andrew Fairbairn",,,,2014,
Atici_etal_CurrentResearchAtKultepe-Kanesh_JCSS4_2014.pdf,CURRENT RESEARCH AT KULTEPE-KANESH,"Levent Atici, Fikri Kulakoglu, Gojko Barjamovic, Andrew Fairbairn",,Journal of Cuneiform Studies,Supplemental Series 4,2014,
Attinger_2005_ZA95_AK_faire.pdf,A propos de AK «faire» (I),Pascal Attinger,Berne,Zeitschrift für Assyriologie,95,2005,46–64
"Aydin, Nafiz - Ev Satışıyla İlgili Bir Kültepe Tableti ile Etüdlük Tabletlerde Geçen Yer Adları ve Karum Nahria. Belleten 58 (121), 1994 29-38.pdf",Ev Satışıyla İlgili Bir Kültepe Tableti ile Etüdlük Tabletlerde Geçen Yer Adları ve Karum Nahria,Nafiz Aydın,,Belleten,58,1994,221-222
Aydin_1994_Bel58_hauserkauf.PDF,EINE TAFEL UBER HAUSVERKAUF MIT DEN ORTSNAMEN IN FRAGMENTEN DER TAFELN AUS KUL TEPE UND KARUM NAHRIA,"NAFIZ AYDIN, M.A.",Kayseri,BELLETEN,LVIII,1994,221–
"BIN 4, 1927.pdf",BABYLONIAN INSCRIPTIONS IN THE COLLECTION OF JAMES B. NIES,Albert T. Clay,New Haven,Yale University Press,IV,1927,
"BIN 6, 1944.pdf",Babylonian Inscriptions in the Collection of James B. Nies,Ferris J. Stephens,New Haven,Yale University Press,VI,1944,19–27
BOOM26__KAYAP-libre.pdf,"Preliminary Report for the Archaeological Survey in Kayseri Province, Turkey (KAYAP), Fourth Season (2011)","Ryoichi KONTANI, Hiroshi SUDO, Yuji YAMAGUCHI, Yuichi S. HAYAKAWA, Fikri KULAKOĞLU, Kutlu EMRE",Okayama,Bulletin of the Okayama Orient Museum,26,2012,15-29
BOOM27-KAYAP-libre.pdf,動物・ミニチュア容器付環状土製品について,紺谷 亮一、小髙 敬寛、須藤 寛史、早川 裕弌、山口 雄治、F・クラックオウル、K・エムレ、S・エゼル、G・オズトゥルク,岡山市,岡山市立オリエント美術館研究紀要,27,2013,15-42
BOOM27_KULTEPE-libre.pdf,動物・ミニチュア容器付環状土製品について,上杉 জ紀,,岡山市立オリエント美術館研究紀要,27,2013,13-Jan
Bachvarova_2005_GRBS45_Bilgames&Akka_Iliad.pdf,The Eastern Mediterranean Epic Tradition from Bilgames and Akka to the Song of Release to Homer’s Iliad,Mary R. Bachvarova,,"Greek, Roman, and Byzantine Studies",45,2005,131–153
"Balkan, Kemal - Makris and asis, component-parts of wagons and ploughs resp. in a Cappadocian tablet from Kultepe. FS Laroche 1979 49-58.PDF","Makris and A.Sis, Component-Parts of Wagons and Ploughs Respectively, in a Cappadocian Tablet from Kultepe",Kemal Balkan,,,,1979,
Balkan_1965b_OLZ60_Rev_ICK2.pdf,Keilschriftforschung,,,Orientalistische Literaturzeitung,60,1965,146-162
Bar-am_1935_Studies of business letters.pdf,Studies of Business Letters from Cappadocian Cuneiform Texts,Moshe Bar-Am,,,,1935,
"Barjamovic, G., Hertel, T. & M. Larsen - Ups and Downs. 2012 (preprint).pdf",Chronology and History of the Middle Bronze Age in Anatolia,"Gojko Barjamovic, Thomas Hertel, Mogens Trolle Larsen",,,,2012,
"Barjamovic, G., Hertel, T. & M. Larsen - Ups and Downs. 2012 (preprint).pdf",Chronology and History of the Middle Bronze Age in Anatolia,"Gojko Barjamovic, Thomas Hertel, Mogens Trolle Larsen",,,,2012,
"Barjamovic, Gojko - A Historical Geography of Anatolia in the Old Assyrian Colony Period. CNIP 38, 2011.pdf",A Historical Geography of Anatolia in the Old Assyrian Colony Period,Gojko Barjamovic,Copenhagen,Museum Tusculanum Press,38,2011,
"Barjamovic, Gojko - A Historical Geography of Ancient Anatolia in the Assyrian Colony Period. CNI 38, 2011.pdf",A Historical Geography of Ancient Anatolia in the Assyrian Colony Period,Gojko Barjamovic,Copenhagen,CNI Publications,38,2011,
"Barjamovic, Hertel, Larsen - Ups and downs at Kanesh. PIHANS 120, 2012.pdf","Ups and Downs at Kanesh. Chronology, History and Society in the Old Assyrian Period","Gojko Barjamovic, Thomas Hertel, Mogens Trolle Larsen",Leiden,PIHANS,5,2012,1–3
Barjamovic_2015_ContextualizingTradition.pdf.pdf,,Gojko Barjamovic,,,,2015,
Barjamovic_etal_bronzeagetrade_2017.pdf,"Trade, Merchants, and the Lost Cities of the Bronze Age","Gojko Barjamovic, Thomas Chaney, Kerem Coşar, Ali Hortaçsu",,,,2017,
"Bayram, S & Veenhof, K.R. - Unpublished Kultepe texts on real estate. JEOL 32, 1991-92 87-100.pdf",UNPUBLISHED KÜLTEPE TEXTS ON REAL ESTATE,"SABAHATTIN BAYRAM, KLAAS R. VEENHOF","Ankara, Leiden",,,1991-1992,
"Bayram, S. & S. Çeçen - The Institution of Slavery in Ancient Anatolia. Belleten 59 (229), 1996 605-645.pdf",THE INSTITUTION OF SLAVERY IN ANCIENT ANATOLIA IN THE LIGHT OF NEW DOCUMENTS,SEBAHATTiN BAYRAM - SALiH CECEN,,,,1996,
Bayram_1997_ArAn3_BilgicFS_rare_names.pdf,NEW AND SOME RARE GEOGRAPHICAL NAMES IN THE KULTEPE TEXTS,Sebahattin BAYRAM,,,,1997,211-234
Bayram_2000_ArAn4_naditim.pdf,"Kiiltepe metinlerinde, dublikatlanyla birlikte ele ge~en metin",Sebahattin BAYRAM,,,,2000,
Bayram_Veenhof_1992_JEOL32_real_estate.pdf,Unpublished Kultepe Texts on Real Estate,"Sabahattin Bayram, Klaas R. Veenhof","Ankara, Leiden","Jaarbericht ""Ex Oriente Lux""",32,1991-1992,213-317
"Beal, Richard H. - The History of Kizzuwatna and the Date of the Sunassura Treaty. Or 29, 1986 424-449.PDF",The History of Kizzuwatna and the Date of the Sunassura Treaty,Richard H. Beal,,,,1986,
"Beal, Richard H. - The Predecessors of Hattušili I, FS Hoffner 2003 13-39.PDF",The Predecessors of ljattu§ili I,RICHARD H. BEAL,Chicago,,,2003,
"Beckman, Gary - An Anatolian Miscellany. SMEA 32, 1993 112-121.pdf",An Anatolian Miscellany,Gary Beckman,,,,1993,
Beckman_1993_SMEA32_miscellany.pdf,AN ANATOLIAN MISCELLANY,GARY BECKMAN,Bochum,,,1993,
"Beitzel, B. J. - The Old Assyrian Caravan Road in the Mari Royal Archives. Mari in Retrospect, 1992 35-57.pdf",The Old Assyrian Caravan Road in the Mari Royal Archives,B. J. Beitzel,Trinity Evangelical Divinity School,,,1992,
Beitzel_1992_MariInRetro_OA_Road.PDF,The Old Assyrian Caravan Road in the Mari Royal Archives,B. J. Beitzel,Trinity Evangelical Divinity School,,,1992,
Ben-Dov_Horowitz_Horowitz_2005_ZA95_Lunar_Three.pdf,The Babylonian Lunar Three in Calendrical Scrolls from Qumran,Jonathan Ben-Dov and Wayne Horowitz,Haifa and Jerusalem,Zeitschrift für Assyriologie,95,2005,104–120
Bibliography_ANE_Arch_Art.pdf,Der Alte Orient. Ars Antiqua,P. Amiet,Freiburg / Basel / Wien,,,1977,Geschichte Mesopotamiens. Von den Sumerern bis zu Alexander dem Großen
Biggs_1988_SachsFS_letter.pdf,An Old Assyrian Letter,Robert D. Biggs,,,,1988,
Biggs_1996_HirschFS_womans_plaint.pdf,A Woman's Plaint in an Old Assyrian Letter,ROBERT D. BIGGS,Chicago,,,1996,
"Bilgic, E. & C. Gunbatti - Ankaraner Kultepe-Texte III. (AKT 3) FAOSB 3, 1995.pdf",Ankaraner Kültepe-Texte III,Emin Bilgiç und Cahit Günbatti,Stuttgart,Freiburger Altorientalische Studien,3,1995,15–193
"Bilgic, Emin - Ankara Kultepe Tabletleri I. TTKY VI 33, AKT 1, 1990.pdf",ANKARA KÜLTEPE TABLETLERi,"Prof. Dr. Emin BÎLGÎÇ, Dr. Hüseyin SEVER, Dr. Cahit GÜNBATTI, Dr. Sabahattin BAYRAM",Ankara,Türk Tarih Kurumu Yayınları,VI. Dizi — Sa. 33,1990,1-185
"Bilgic, Emin - Ankara Kultepe Tabletleri II. TTKY VI 33a, AKT 2, 1995.pdf",Ankara Kültepe Tabletleri II,"Prof. Dr. Emin Bilgiç, Doç. Dr. Sabahattin Bayram",Ankara,Türk Tarih Kurumu Yayınları,VI. Dizi — Sa. 33a,1995,
Bilgic_1947b_Bel11_turkish.PDF,Civi Yazılı Hukuki - İktisadi Kaynaklar,Dr. Emin Bülent,,,XI,1947,44
Bilgic_1954_Einheimischen(2).PDF,DIE EINHEIMISCHEN APPELLATIVA DER KAPPADOKISCHEN TEXTE UND IHRE BEDEUTUNG FUR DIE ANATOLISCHEN SPRACHEN,Dr. EMtN BILGIQ,Ankara,FAKOLTESt Y AYINLARI,96,1954,
"Bion, B & P. Negri-Scafa - Nuzi, Arrapha, Tell al-Fahhar. Publication des textes datant du Bronze Recent. Bibliography 2010..pdf",Publication des textes datant du Bronze Récent,Brigitte LION et Paola NEGRI-SCAFA,,,,2010,
Bittel_1939_AfO12_Bogaskoy_Report_pic_OA_tablet.PDF.pdf,Wissenschaffliche Berichte. Ausgrabungen und Forschungsreisen. Bogazkoy.,,,,,1918,
"Blum, H., Faist, B. et al eds - Bruckenland Anatolien. 2002.pdf","Brückenland Anatolien? Ursachen, Extensität und Modi des Kulturaustausches zwischen Anatolien und seinen Nachbarn",Hartmut Blum / Betina Faist / Peter Pfälzner / Anne-Maria Wittke,Tübingen,Attempto Verlag,,2002,393
"BoTU 1, 1922.pdf",DIE KEILSCHRIFT VON B O G H A Z K O I,EMIL FORRER,LEIPZIG,J. C. HINRICHS’SCHE BUCHHANDLUNG,,1922,
BoTU 1.pdf,DIE KEILSCHRIFT VON B O G H A Z K O I,EMIL FORRER,LEIPZIG,J. C. HINRICHS’SCHE BUCHHANDLUNG,,1922,
"BoTU 2, 1926.pdf",GESCHICHTLICHE TEXTE AUS B O G H A Z K O I,E M I L F O R R E R,Leipzig,J. C. Hinrichs’ sche Buchhandlung,,1926,
BoTU 2.pdf,GESCHICHTLICHE TEXTE AUS B O G H A Z K O I,E M I L F O R R E R,Leipzig,J. C. Hinrichs’ sche Buchhandlung,2,1926,
"Bongenaar, A.C.V.M. - Interdependency of Institutions and Private Entrepreneurs, MOS 2. PIHANS 87, 2000.pdf",Interdependency of Institutions and Private Entrepreneurs,A.C.V.M. Bongenaar,Istanbul,Proceedings of the Second MOS Symposium,2,2000,1–259
BookScanCenter.pdf,Anadolu’da Nijanin Bozulmasi Hakkinda Verilmi? Kani§ Karumu Karan,Y. Doç. Dr. Huseyin Sever,,Turk Tarih Kurumu Belleten,LVI,1992,667–675
Book_Reviews_2005_ZA95.pdf,Die Serie vom Fuchs,Burkhart Kienast,Stuttgart,Freiburger altorientalische Studien,22,2003,72 S.
"Brinkman_1963_OrNS32_New Evidence on Old Assyrian hamuštum. OrNS 32, 1963 387-394.pdf",New Evidence on Old Assyrian hamuštum,J. A. Brinkman,Toronto,,,1963,
Bruins_etal_2003_Science300_C14_Iron-Age.pdf,,,,,,2003,
Bruins_etal_2003_Science300_C14_dates.pdf,,,,,,2003,
Bryce_1985_AoF12_developments.pdf,A Suggested Sequence of Historical Developments in Anatolia during the Assyrian Colony Period,Trevor R. Bryce,,Altorientalische Forschungen,,1985,
"Buccellati, Federiko - Altassyrische Glyptik. Eine Inhaltliche und Methodologische Annaherung. Diss Tubingen 2005.pdf",Altassyrische Glyptik,Federico Buccellati,Tübingen,,,2005,
"Buchbesprechungen. Veenhof, Klaas R. The Old Assyrian List of Year Eponyms from Karum Kanis. ZA 94.4.pdf",The Old Assyrian List of Year Eponyms from Karum Kanisˇ and its Chronological Implications,Klaas R. Veenhof,Ankara,"Türk Tarih Kurumu. Atatürk Supreme Council for Culture, Language and History Publications of the Turkish Historical Society",VI,2003,"VIII, 78 S."
Buchbesprechungen_ZA94_04.pdf,The Old Assyrian List of Year Eponyms from Karum Kanisˇ and its Chronological Implications,Klaas R. Veenhof,Ankara,"Türk Tarih Kurumu. Atatürk Supreme Council for Culture, Language and History Publications of the Turkish Historical Society",VI,2003,"VIII, 78 S."
CAD (A-N).pdf,The Assyrian Dictionary of the Oriental Institute of the University of Chicago,"Ignace J. Gelb, Benno Landsberger, A. Leo Oppenheim, Erica Reiner","Chicago, Illinois",,,1964,
CAD (N-Z).pdf,The Assyrian Dictionary,"John A. Brinkman, Miguel Civil, Ignace J. Gelb, A. Leo Oppenheim, Erica Reiner",Chicago,The Assyrian Dictionary of the Oriental Institute of the University of Chicago,11,1980,Part II
"CCT 1, 1921.pdf",Cuneiform Texts from Cappadocian Tablets in the British Museum. Part I.,E. A. Wallis Budge,London,,,1921,
"CCT 4, 1927.pdf",Cuneiform Texts from Cappadocian Tablets,Sidney Smith,London,British Museum,,1927,3–4
"CMK, 2001.pdf",Correspondance des marchands de Kaniš au début du IIe millénaire avant J.—C.,Cécile Michel,Paris,,,2001,
CNIP 38.pdf,A Historical Geography of Anatolia in the Old Assyrian Colony Period,Gojko Barjamovic,Copenhagen,Museum Tusculanum Press,38,2011,
"CTTMA 1, 1988.pdf","Cuneiform texts in The Metropolitan Museum of Art, Volume I",Ira Spar,New York,The Metropolitan Museum of Art,1,1988,
Cahit Günbattı'ya Armağan 2015.pdf,Studies in Honour of Cahit Günbattı,"İrfan Albayrak, Hakan Erol, Murat Çayır",Ankara,,,2015,
"Calmeyer_1977_Iraq39_Das Grab eines Altassyrischen Kaufmanns. Iraq 39, 1977 87-97.pdf",Das grab eines altassyrischen kaufmanns,Peter Calmeyer,,Iraq,39,1977,87-97
"Canby_1975_JNES34_The Walters Gallery Cappadocian Tablet. JNES 34, 1975 225-248.pdf",The Walters Gallery Cappadocian Tablet and the Sphinx in Anatolia in the Second Millennium B. C.,Jeanny Vorys Canby,Baltimore,Journal of Near Eastern Studies,34,1975,225-248
"Cancik-Kirschbaum, Eva - Die Assyrer. Geschichte, Gesellschaft, Kultur, 2003.pdf",DIE ASSYRER,Eva Cancik-Kirschbaum,Berlin,,,2003,
Caubet_1991_GarelliFS_ivoires.pdf,IVOIRES DE CAPPADOCE,Annie CAUBET,Musée du Louvre,Melanges P. Garelli,,1991,
Cecen_2002_ArAn5_gore.pdf,KULTEPE BELGELERiNE GORE ANADOLU SEHiR DEVLETLERiNDE AYAKLANMA,Salih Çeçen,Ankara,,,1990,
Civil_1961_JCS15_Txt_Frag.pdf,Texts and Fragments (42),M. Civil,Philadelphia,Journal of Cuneiform Studies,15,1961,127
"Clay, Albert T. - Empire of Amorites, Chap. 13. YOSR 6, 1919 130-137.pdf",The Empire of the Amorites,,,,,1919,
"Clay, Albert T. - Letters and Transactions from Cappadocia. BIN 4, 1927.pdf",BABYLONIAN INSCRIPTIONS IN THE COLLECTION OF JAMES B. NIES,Albert T. Clay,New Haven,Yale University Press,IV,1927,
"Cogan, M and Eph'al, I, eds - Ah, Assyria... Studies Presented to Hayim Tadmor. ScrHier 33, 1991.pdf",STUDIES IN ASSYRIAN HISTORY AND ANCIENT NEAR EASTERN HISTORIOGRAPHY,Mordechai Cogan and Israel Eph'al,Jerusalem,Scripta Hierosolymitana,XXXIII,1991,1–341
Cohen_ZA90_diachronic-ma.pdf,Akkadian -ma in Diachronic Perspective,Eran Cohen,Jerusalem,,,2000,
Collon_1989_OzgucTFS_cappadocian.pdf,AN INTRIGUING 'CAPPADOCIAN' DOCUMENT AND ITS RELATIONS,Dominique Callan,,,,1989,
Collon__1993_OzgucNFS_Sippar.pdf,ANOTHER OLD ASSYRIAN DOCUMENT FROM SIPPAR,DOMINIQUE COLLON,London,,,1993,
"Contenau, D. G. -Trente Tablettes Cappadociennes. TTC 8, LPG 13, 1919.pdf",TRENTE TABLETTES CAPPADOCIENNES,G. Contenau,Paris,,,1919,
Cornick_2006_ModContFrance14_uses_orient_1920-30.pdf,"In Search of the Absolute: the Nouvelle Revue franc¸aise, and Uses and Meanings of the Orient (1920–1930)",Martyn Cornick,Birmingham,Modern & Contemporary France,14,2006,15–32
Crawford_Sumer_and_theSumerians_1st_Chap.pdf,Sumer and the Sumerians,Harriet Crawford,,Cambridge University Press,,2004,
Crowfoot_1899_Rev_Chantre_Mission.pdf,Mission en Cappadoce 1893-1894,J. W. Crowfoot,,The Journal of the Anthropological Institute of Great Britain and Ireland,29,1899,320-324
"Dalley, 1979.pdf","A catalogue of the Akkadian cuneiform tablets in the collections of the Royal Scottish Museum, Edinburgh, with copies of the texts",Stephanie Dalley,Edinburgh,ART & ARCHAEOLOGY,2,1979,1–6
"Dalley, S. - Old Babylonian Trade in Textiles at Tell al Rimah 23. Iraq 39, 1977 155-159.pdf",Old Babylonian Trade in Textiles at Tell al Rimah,Stephanie Dalley,,Iraq,39,1977,155-159
"Deller, Karlheinz - Old Assyrian Kanwarta, Middle Assyrian Kalmarte, and Neo-Assyrian Garmarte. JEOL 29, 1985-86 43-49.pdf","Old Assyrian Kanwarta, Middle Assyrian Kalmarte, and Neo-Assyrian Garmarte",Karlheinz Deller,Heidelberg,,,1985-1986,44-45
"Dercksen - On Anatolian Loanwords in Akkadian Texts from Kültepe (ZA, 2007) 26-46.pdf",On Anatolian Loanwords in Akkadian Texts from Kültepe,J. G. Dercksen,Leiden,Zeitschrift für Assyriologie,97,2007,26–46
Dercksen 2004 Old Assyrian Institutions PIHANS-98.pdf,Old Assyrian Institutions,J.G. Dercksen,Leiden,Nederlands Instituut voor het Nabije Oosten,98,2004,1–35
Dercksen 2008 Observations on land use and agriculture in Kaneš FS Garelli 139-157.pdf,OBSERVATIONS ON LAND USE AND AGRICULTURE IN KANEŠ*,Jan Gerrit Dercksen,Universiteit Leiden,Old Assyrian Studies in Memory of Paul Garelli,4,2008,139-157
"Dercksen 2008 The Assyrian colony at Kanesh. Gernot Wilhelm (ed.), Hattuša-Bogazköy. Das Hethiterreich im Spannungsfeld des Alten Orients, 109-124.pdf",The Assyrian Colony at Kanesh,Jan Gerrit Dercksen,Leiden,,,2008,
Dercksen 2009 From the NINO collections- an unread letter NINO Annual Report 2009 22-25.pdf,Annual Report 2009,Netherlands Institute for the Near East,Leiden,Anatolica,1,2009,3-Jan
Dercksen 2010 Anitta and the Man of Purushanda FS Donbaz 71-75.pdf,Veysel Donbaz’a Sunulan Yazılar,Şevket Dönmez,Istanbul,DUB.SAR É.DUB.BA.A,,2010,
Dercksen 2011  Weeks months and years in Old Assyrian chronology. In- Bibliotheca Orientalis 68 3-4 233-243.pdf,"WEEKS, MONTHS AND YEARS IN OLD ASSYRIAN CHRONOLOGY",Jan Gerrit Dercksen,Leiden,,,2011,
Dercksen 2011 The exchange of sacrificial gifts among Old Assyrian merchants FS Meijer 59-67.pdf,Correlates of Complexity: Essays in Archaeology and Assyriology Dedicated to Diederik J.W. Meijer in Honour of his 65th Birthday,"Bleda S. Düring, Arne Wossink, Peter M.M.G. Akkermans",Leiden,PIHANS,CXVI,2011,1–261
Dercksen 2011 The seal of Bel FS Westenholz 67-78.pdf,AKKADE IS KING: A COLLECTION OF PAPERS BY FRIENDS AND COLLEAGUES PRESENTED TO AAGE WESTENHOLZ ON THE OCCASION OF HIS 70TH BIRTHDAY 15TH OF MAY 2009,"Gojko Barjamovic, Jacob L. Dahl, Ulla Susanne Koch, Walter Sommerfeld, Joan Goodnick Westenholz",Leiden,PIHANS,CXVIII,2011,
Dercksen 2012-13 Cuneiform Documents from Various Dutch Collections JEOL 44.pdf,CUNEIFORM DOCUMENTS FROM VARIOUS DUTCH COLLECTIONS,"R. DE BOER, J.G. DERCKSEN, TH.J.H. KRISPIJN",Amsterdam,JEOL,44,2012-2013,170-171
Dercksen 2013 (Old Babylonian metallurgy and its organization - Review article of Ilya Arkhipov Babel und Bibel 7 353-369..pdf,"Babel und Bibel 7: Annual of Ancient Near Eastern, Old Testament, and Semitic Studies","L. Kogan, N. Koslova, S. Loesov, and S. Tishchenko",,,,2014,
"Dercksen 2013 Cuneiform documents from various Dutch collections, by R. de Boer, J.G. Dercksen and Th.J.H. Krispijn JEOL 44 (2012-2013) 169-188..pdf",New Volumes in the Series “Mededelingen en Verhandelingen Ex Oriente Lux”,J.H. Insinger,Leiden/Leuven,Jaarbericht “Ex Oriente Lux”,44,2013,
Dercksen 2014 Assyrian karum envoys in Mari. NABU 2014 4 note 78.pdf,Automated Joining of Cuneiform Tablet Fragments,"Erlend Gehlken, Sandra I. Woolley, Tim Collins","Frankfurt/Main, Birmingham",N.A.B.U,2014,2014,119–120
Dercksen 2014 The Old Assyrian trade and its participants 59-112.pdf,Documentary sources in ancient Near Eastern and Greco-Roman economic history : methodology and practice,Heather D. Baker and Michael Jursa,Oxford & Philadelphia,Oxbow Books,,2014,
Dercksen 2014 The date of Hammurabi's conquest of Larsa. NABU 2014 4 note 79.pdf,Automated Joining of Cuneiform Tablet Fragments,"Erlend Gehlken, Sandra I. Woolley, Tim Collins","Frankfurt/Main, Birmingham",N.A.B.U,2014,2014,119–120
Dercksen 2015 Nikkassu a calculating instrument NABU 2015 1 note 09.pdf,Hamburg meets Uruk – a perhaps somewhat daring hypothesis,,,N.A.B.U,1,2015,1–2
Dercksen 2015 Six texts with new and rare toponyms from the house of Ali-ahum FG Günbatti 49-58.pdf,Studies in Honour of Cahit Günbattı,"İrfan Albayrak, Hakan Erol, Murat Çayır",Ankara,,,2015,
"Dercksen 2015 The goddess who was robbed of her jewellery Anatolica 41, 37-59..pdf","Silver for Assur: Kanesh, Acemhöyük and Metal Wealth in the Taurus Highlands",K. Aslıhan Yener,,ANATOLICA,41,2015,8-Jan
Dercksen 2015 The government of Assur during the rule of Samsi-Addu NABU 2015 1 note 08.pdf,Hamburg meets Uruk – a perhaps somewhat daring hypothesis,,,N.A.B.U,1,2015,2-Jan
